发布时间,正文
2021-01-25 23:47:26,$美股公司价投(ZH1790130)$ @Value罗宾逊 这种行情太上头，慢慢转向防御？重视鲁棒性。
2021-02-08 09:30:40,$美团-W(03690)$ $拼多多(PDD)$ $阿里巴巴(BABA)$ 全文比征求意见稿适当宽松了点？
2021-07-23 10:45:35,我刚刚调整了一下雪球组合 $低估白马1(ZH1401420)$ 的仓位。
2021-07-26 09:30:02,$沃森生物(SZ300142)$
2021-08-26 10:21:17,储能元年，行业5年符合增速预期70%$华阳股份(SH600348)$ $科士达(SZ002518)$ $宁德时代(SZ300750)$
2022-07-23 13:45:08,722世界动力电池大会宁德时代首席科学家吴凯演讲关于三元，磷酸铁锂，M3P，钠离子电池以及电池结构下面我结合我们在新结构应用比如麒麟电池，还有新的化学体系近期怎么样落地，给大家做一下汇报。汇报围绕的主题是续航里程，我们的终端客户对续航里程有很多需求，大家提出很多的需求，高端的乘用车上，是多个客户有1000公里需求。终端的性能型的，700公里左右是典型的需求。里程短的经济型的300、500公里，包括短的100公里的，这些都是有很大的需求。面对这些需求，我们现有的电芯解决方案主要是两类，一类是三元，有中镍的，也有高镍的，也有磷酸铁锂的，这能大致解决需求。如果不考虑成本，续航里程也可以考虑，那可能就是天价，但是，我们必须要结合成本考虑，我们对此做了创新思考。1000公里以上的车，按照原来的要求，高镍三元加一点中硅到低硅的，因为高硅的成本更高，我们就在尝试降低成本，我们用了麒麟电池的结构，原来是高硅加上高镍三元做1000公里的，但是我们高镍三元加上低硅，可以很容易做到1000公里续航，可以同时满足低温和高性能。700公里左右的性能型的车，之前做中镍、低镍的三元，但是，这个设计相对来说成本更高一些，特别是今年以来，各种原材料涨价，不但是锂涨价，镍和钴也在涨价，那有没有更低成本路线达到指标呢？我们这几年新开发一个材料叫M3P，结合麒麟电池，完全可以达到这个指标。在里程低的经济型车的方案，现在我们结合麒麟电池结构可以做到一个新的材料体系钠离子，钠离子不是第一天存在，但是在车这个体系上一直没有得到很好的应用，一方面是体积密度低，另一方面是寿命及其他一些性能解决得不是很好。宁德时代结合麒麟结构，在钠离子方面做了一些工作。我们看到，在里程低的，300-500公里，甚至更低的里程需求，钠离子完全可以满足。因此，在体积许可、重量许可方面，我们优先给客户推介钠离子解决方案。在传统的实现方式上，我们现在增加了三个不同，1000公里以上的有更优化的解决方案，麒麟+高镍三元和低硅。对于700公里左右实用型车型，我们有更低成本方案，有替代三元的M3P。对里程需求低的经济型的，除了铁锂以外，我们还有更经济型的钠离子电池。前面介绍了我们在近期的几个方向的解决方案，我下面重点说一下这几个方向是怎么做的。第一个是M3P。这个行业曾经有很多人开发新材料叫磷酸锰铁锂，但是，这个行业开发很多年了，它仍有一些固有问题解决不了，最典型的是电导率不够，导致到锰的平台时，在车里能用的难度就很大。宁德时代经过一系列的工作，我们有搞计算的研发团队做了长时间很多种计算，因为简单靠想象去试错是试不完的，我们做了大量计算之后找到把材料添加不同元素改性的办法，让原来电导率不够方面得到好的解决，现在我们这个材料已经量产了，明年会陆续把这个产品推向应用。第二个是钠离子电池。钠离子电池也存在很久了，但是一直有几个问题，一是能量密度过低，现在有人说的比如在110Wh/kg的水平上，我们推算，在车上没有达到140Wh/kg、150Wh/kg的话，很难得到推广。二是正极材料，它的正极材料特别怕水，因为它非常容易吸水，重要办法就是要把吸水问题解决，宁德时代经过多年的奋斗，这个问题也得到了好的答案。三是负极材料，钠离子负极多数用的是硬碳，硬碳要做好一致性是很不容易的，我们宁德时代这些年在这方面也取得了不错成果。我们现在在努力和克服中，后续会把钠离子电池用到车上面，大家很快会见到。第三个是结构创新。CTP3.0，名字叫麒麟电池，比目前在市场上的CTP2.0的体积有了不错的提升，麒麟电池对比大家常说的4680的结构体系相比，在体积的利用率大概有百分之十几的优势。在麒麟电池之后，我们还在做进一步创新，因为麒麟电池还是独立电池包与整车底盘还是分开的，有很多浪费的地方。我们想，能不能设计电动车底盘时就能和电池包联在一起设计，我们在这方面也做了不少的布局。我们公司已经发布过麒麟电池，刚才也提到了我们在700公里的车上，结合M3P，可以把它做到700公里。但是，电池包与车的底盘还是分离，那我们没有做到一体，能不能把这个空间利用起来？麒麟电池包上盖可以与整车的底板结合在一起，我们这方面电池已经有落地的设计，已经与一些客户进行推动，在体积利用上又多出来10毫米，这是很大一块空间。除此之外，结构创新进一步优化，如何把电池包和EV底盘集成在一起，可以省掉一些结构，多给电池一些空间，在这方面有很大优势。我们在这方面得到国家层面还有客户层面的很多支持，现在正在按部就班的进行中，希望很快能给大家拿出一个产品。我最后总结一下，电动化进入到了一个新阶段，但它还面临很多痛点需要去解决，这就需要大家用新技术、新突破、新标准，持续提升客户体验，大家一起努力推动电动化。网页链接$湘潭电化(SZ002125)$ $华阳股份(SH600348)$ $宁德时代(SZ300750)$@密西西笔盒 @吉普赛007
2022-07-24 22:06:48,$华阳股份(SH600348)$ 深度绑定中科海钠，1GW钠离子电芯厂本月或下月投产，股权100%控股(与中科海钠共同管理)，1GW电池pack9月底安装投产，将在三季度末四季度初提前看到钠离子电池量产产品。对应的正负极公司中科海钠55%，华阳45%，2000吨3月试生产7月已经量产达产。本来计划一期0.8GW，二期10GW，华阳判断钠离子产品面世后储能市场万亿级别，集团正加快推进钠离子储能千亿产业规划项目，后续扩产项目待定。$宁德时代(SZ300750)$ $湘潭电化(SZ002125)$
2022-07-25 22:05:30,$湘潭电化(SZ002125)$ $德方纳米(SZ300769)$ $宁德时代(SZ300750)$ 1.德方纳米现有15.5万吨磷酸铁锂，在建和拟建62万吨磷酸铁锂。其中包括磷酸锰铁锂11+33万吨，其中的11万吨四季度投产，磷酸锰铁锂占比超过总产能一半；2.磷酸铁锂2021年出货量48万吨，其中湖南裕能份额25%，德方纳米20%；3.湘潭电化及电化集团公司是湖南裕能(创业板已过会，参考德方600亿)第一大股东，其中湘潭电化持有8.47%。湘潭电化与最大的磷酸铁锂公司深度绑定；4.二氧化锰，四氧化三锰，锰酸锂都可以用于磷酸锰铁锂电池，三种产品湘潭电化都有产能，二氧化锰12.2万吨产能最大且属于限制类，电池级四氧化三锰1万吨产能已经投产。5.宁德时代首席科学家吴凯在世界动力电池大会上表示，公司M3P电池已经量产，明年将推向市场运用。M3P电池是宁德时代基于新型材料体系研发的电池，其能量密度高于磷酸铁锂，成本优于三元电池。
2022-09-02 19:29:20,1.拼多多正式出海拼多多出海品牌Temu昨日海外上线，看来是是先“抄”袭Shein，再创新搞差异化竞争(如图)2.拼多多出海背景百亿补贴和多多买菜已大获成功，在奠定全球第一大用户平台以及全球最大的农产品平台后，多多平台年盈利水平高达400亿+，大后方非常稳固。前期出海尝试只是试水，这次出海才值得关注。3.创立至今三次创业成功，出海打造第二曲线按照拼多多的发展历程，出海电商算是拼多多第四次创业了，过去三次重点投入的创业全部大获成功(1)确立农产品与白牌大本营;(2)百亿补贴长期战略引导品牌上行;(3)多多买菜巩固大本营差异化优势，打造高频消费和引流场景;(4)出海国际化，不重要但有意思的点极兔随之出海。Shein模式不容易，简单复制不可能超越，甚至可能无法存活，但拼多多过去差异化竞争策略和极强执行力的团队不可忽视，现在出海也是天时地利人和。$阿里巴巴(BABA)$ $腾讯控股(00700)$ $拼多多(PDD)$ 财报电话会上，拼多多董事长兼首席执行官陈磊首次提到，海外业务是拼多多看到的一个新机会，他看到了创造用户价值的可能性，也看到了许多同行取得不错成绩，认为是一个值得尝试的方向。@今日话题 @不明真相的群众
2022-09-21 14:02:23,$华阳股份(SH600348)$ $传艺科技(SZ002866)$最近传闻有点多。 电芯基本确定月底投产，届时中科海钠专家出席，同时发布公告，到时看能不能有个投关交流。
